epic,desc,charge,spread
BCZSZR4,,0.45,2.01
BD45YS7,,0.30,0.25
BD4G907,,0.20,0.20
BD4G929,,0.20,0.18
BD4G930,,0.20,0.20
BD4G974,,0.20,0.18
BDCNSP8,,0.85,1.87
BDD9Q40,,0.35,0.22
BDDR9H8,,0.15,0.07
BDFL4P1,,0.19,0.19
BDFLHQ3,,0.19,0.17
BDGMBX0,,0.73,0.53
BDGSVD8,,0.30,0.29
BDGSVG1,,0.30,0.31
BDQZ1H3,,0.30,0.15
BDQZ1K6,,0.30,0.15
BDQZ1N9,,0.40,0.25
BDR6N35,,0.38,0.56
BDV0KB0,,0.45,0.41
BDZZTM5,,0.30,0.20
BF0QVZ4,,0.25,0.63
BF1CV95,,0.25,0.91
BF1CVC8,,0.25,0.81
BF1SMV2,,0.35,0.10
BF1SMZ6,,0.35,0.12
BF1STH7,,0.65,0.32
BF1ZBG1,,0.28,0.36
BF1ZBH2,,0.28,0.18
BF29SX8,,0.35,0.25
BF2F6M1,,0.67,0.15
BF2GMP9,,0.40,2.03
BF51WM8,,0.60,0.34
BF51WP1,,0.65,0.33
BF51WR3,,0.25,0.11
BF51WT5,,0.30,0.31
BF5S810,,0.45,0.53
BF7LBV8,,0.33,0.78
BFH5637,,0.65,0.22
BGLCCZ5,,0.30,0.22
BH6X8R4,,0.99,0.59
BH89L04,,0.30,0.07
BHCQCX1,,0.65,0.71
BJWHZC8,,0.48,0.17
BJWHZQ2,,0.48,0.26
BKM4GY5,,0.25,0.16
BKM4H19,,0.60,0.44
BKM4H20,,0.35,0.17
BKRVH59,,0.30,0.28
BKRVH71,,0.45,0.86
BKWQ0M7,,0.30,0.31
BKWQ0Q1,,0.25,0.26
BKXH1R1,,0.10,0.22
BKXH1S2,,0.12,0.20
BKXH1W6,,0.18,0.32
BKZG9Z0,,0.25,0.47
BKZGB10,,0.25,0.29
BL95G71,,0.88,1.34
BM4NQQ6,,0.39,0.44
BM67HJ6,,0.40,0.26
BMN9L59,,0.40,3.92
BMP3HN9,,0.28,0.52
BNB7CT3,,0.39,0.26
BNGMZJ4,,0.07,0.12
BNGMZY9,,0.25,0.14
BNLPV45,,0.05,0.13
BNLPV78,,0.19,0.10
BNLPV89,,0.19,0.15
BNLPV90,,0.05,0.31
BNLPVB2,,0.19,0.12
BNLPVF6,,0.30,0.18
BNLPVH8,,0.30,0.15
BNLPWZ3,,0.55,0.31
BP3QZ71,,0.30,0.13
BP3QZ82,,0.30,0.14
BP3QZ93,,0.30,0.13
BP3QZB5,,0.30,0.13
BP3QZC6,,0.30,0.13
BP3QZF9,,0.30,0.13
BP3QZH1,,0.60,0.66
BP3QZJ3,,0.25,0.28
BP40LZ2,,0.40,0.59
BP410F8,,0.19,0.12
BP852M7,,0.25,0.35
BP852P0,,0.35,0.16
BPVLQF3,,0.30,0.43
BQN1K45,,0.25,0.20
BQN1K67,,0.25,0.15
BQN1K89,,0.25,0.18
BQN1KB2,,0.25,0.18
BQQ3Q17,,0.46,0.64
BQQPBC9,,0.80,0.44
BQR9WR2,,0.19,0.44
BQT3WG1,,0.65,0.62
BQY79Y5,,0.40,0.21
BQZJBN3,,0.54,0.91
BQZJBR7,,0.29,0.35
BQZJBW2,,0.38,0.25
BQZJBZ5,,0.29,0.22
BQZJC63,,0.38,0.38
BRCJ8L0,,0.25,0.19
BRCJ8M1,,0.25,0.22
BRHZ039,,0.40,0.15
BRJ93B8,,0.65,0.80
BRKFLY4,,0.30,0.12
BRWQVY5,,0.48,0.41
BSBNC18,,0.30,0.29
BSBNC29,,0.30,0.28
BSBNC41,,0.30,0.29
BSBNC74,,0.30,0.29
BSPLC30,,0.25,0.28
BSPLC41,,0.30,0.23
BV7KJR9,,0.20,0.22
BV7KJS0,,0.20,0.23
BVC3MR4,,0.43,0.73
BVDPJP6,,0.40,0.28
BVFM687,,0.65,0.49
BVFNSJ5,,0.25,0.33
BVG1F53,,0.28,0.33
BVJDPN4,,0.40,0.74
BVYTYH4,,0.53,0.62
BVYTYJ6,,0.55,0.89
BW0DJP0,,0.30,0.10
BW4NT67,,0.49,0.51
BWBXM38,,0.15,0.13
BWBXM50,,0.15,0.11
BWBXM72,,0.15,0.14
BWBXM94,,0.15,0.10
BWBXRR7,,0.30,0.26
BWBXSK7,,0.35,0.32
BWBXSQ3,,0.20,0.18
BWTNRN5,,0.38,-0.20
BWTW3C3,,0.65,0.34
BWTW3D4,,0.30,0.21
BWTW3V2,,0.25,0.27
BWWCJM2,,0.50,0.13
BWWCJN3,,0.35,0.20
BWZMM31,,0.35,0.15
BWZMM42,,0.58,0.12
BWZMM75,,0.30,0.21
BX8ZXQ4,,0.39,0.28
BXRTQS0,,0.30,0.31
BY9D8K3,,0.20,0.28
BYMWWF0,,0.65,0.27
BYN7F99,,0.22,0.30
BYN7FN3,,0.22,0.28
BYN7FX3,,0.22,0.26
BYN7HC6,,0.22,0.20
BYPGTS1,,0.29,0.39
BYQ7J83,,0.38,0.40
BYQ7JJ4,,0.29,0.23
BYQMVB5,,0.38,0.23
BYRGP36,,0.75,0.53
BYS8036,,0.59,0.20
BYTLKS9,,0.28,0.61
BYTLLT7,,0.25,0.82
BYVK5H8,,0.35,0.26
BYVK5K1,,0.35,0.26
BYW70C8,,0.30,0.33
BYWSG23,,0.25,0.39
BYX5678,,0.09,0.17
BYX8LV6,,0.40,0.07
BYX9528,,0.34,0.11
BYXZHC0,,0.55,0.40
BYXZTY6,,0.65,0.34
BYYLQL9,,0.40,0.13
BYYLQM0,,0.40,0.15
BYYLQN1,,0.40,0.13
BYYLQP3,,0.40,0.14
BYYN853,,0.45,0.40
BYYW106,,0.30,0.43
BYYW117,,0.30,0.36
BYYW162,,0.30,0.51
BYZ9YL8,,0.49,0.34
BYZBW54,,0.38,0.35
BYZQD56,,0.39,0.26
BYZWVC7,,0.75,0.67
BZ0G2Q2,,0.35,0.22
BZ0G2R3,,0.40,0.50
BZ0G2S4,,0.35,0.36
BZ0G2T5,,0.35,0.39
BZ0G790,,0.40,0.30
BZ0XT17,,0.50,0.13
BZ0XT28,,0.45,0.30
BZ30KH8,,0.30,0.32
BZ30KT0,,0.30,0.17
BZ30KY5,,0.30,0.23
BZ3ZZ45,,0.19,0.41
