epic,sector_desc
B04X7G9,Equity ETI by Area - Europe
B053F20,Equity ETI by Area - North America
B05ND15,Commodity ETI - Gold
B06FR63,Equity ETI by Area - North America
B06FR96,Equity ETI by Sector - Large Mid Small and Micro Cap
B06HMD1,Equity ETI by Area - Asia Pacific
B06HMH5,Equity ETI by Area - Emerging Market
B06HML9,Equity ETI by Area - Europe
B0791H3,Equity ETI by Area - Europe
B0791S4,Equity ETI by Sector - Large Mid Small and Micro Cap
B079247,Equity ETI by Sector - Large Mid Small and Micro Cap
B079258,Equity ETI by Sector - Large Mid Small and Micro Cap
B08J4W8,Equity ETI by Area - North America
B08TZF8,Equity ETI by Area - Europe
B0C0GT8,Equity ETI by Sector - Consumer goods
B0C0GW1,Equity ETI by Sector - Technology
B0C0HT5,Equity ETI by Sector - Technology
B0C0HV7,Equity ETI by Sector - Consumer goods
B0C0ZM4,Equity ETI by Sector - Technology
B0DNDG2,Equity ETI by Area - Developed Mkt
B0DNFK0,Equity ETI by Area - World
B0GL4T3,Equity ETI by Area - North America
B0GX336,Equity ETI by Area - North America
B0L4N45,Equity ETI by Area - World
B0M62Q5,Equity ETI by Area - World
B0M62S7,Equity ETI by Area - Europe
B0M62T8,Equity ETI by Area - Europe
B0M62V0,Equity ETI by Area - Europe
B0M62Y3,Equity ETI by Area - Europe
B0M6306,Commodity ETI - Agriculture
B0M6306,Commodity ETI - Composite
B0M6306,Commodity ETI - Energy
B0M6306,Commodity ETI - Gold
B0M6306,Commodity ETI - Industrial Metals
B0M6306,Commodity ETI - Livestock
B0M6306,Commodity ETI - Oil
B0M6306,Commodity ETI - Precious Metals
B0M6306,Commodity ETI - Silver
B0M6306,Commodity ETI - Soft
B0M6306,Equity ETI by Area - Africa & Middle East
B0M6306,Equity ETI by Area - Asia Pacific
B0M6306,Equity ETI by Area - Developed Mkt
B0M6306,Equity ETI by Area - Emerging Market
B0M6306,Equity ETI by Area - Europe
B0M6306,Equity ETI by Area - FTSE 100
B0M6306,Equity ETI by Area - FTSE 250
B0M6306,Equity ETI by Area - Japan
B0M6306,Equity ETI by Area - Latin & South America
B0M6306,Equity ETI by Area - North America
B0M6306,Equity ETI by Area - Other
B0M6306,Equity ETI by Area - Russia
B0M6306,Equity ETI by Area - UK
B0M6306,Equity ETI by Area - World
B0M6306,Equity ETI by Sector - Banks & Financials
B0M6306,Equity ETI by Sector - Basic Materials
B0M6306,Equity ETI by Sector - Consumer goods
B0M6306,Equity ETI by Sector - Energy
B0M6306,Equity ETI by Sector - Health
B0M6306,Equity ETI by Sector - Industrials
B0M6306,Equity ETI by Sector - Large Mid Small and Micro Cap
B0M6306,Equity ETI by Sector - Oil & Gas
B0M6306,Equity ETI by Sector - Property
B0M6306,Equity ETI by Sector - Technology
B0M6306,Equity ETI by Sector - Telecoms
B0M6306,Equity ETI by Sector - Utilities
B0M6306,Equity ETI by Sector - Volatility Index
B0M6317,Commodity ETI - Agriculture
B0M6317,Commodity ETI - Composite
B0M6317,Commodity ETI - Energy
B0M6317,Commodity ETI - Gold
B0M6317,Commodity ETI - Industrial Metals
B0M6317,Commodity ETI - Livestock
B0M6317,Commodity ETI - Oil
B0M6317,Commodity ETI - Precious Metals
B0M6317,Commodity ETI - Silver
B0M6317,Commodity ETI - Soft
B0M6317,Equity ETI by Area - Africa & Middle East
B0M6317,Equity ETI by Area - Asia Pacific
B0M6317,Equity ETI by Area - Developed Mkt
B0M6317,Equity ETI by Area - Emerging Market
B0M6317,Equity ETI by Area - Europe
B0M6317,Equity ETI by Area - FTSE 100
B0M6317,Equity ETI by Area - FTSE 250
B0M6317,Equity ETI by Area - Japan
B0M6317,Equity ETI by Area - Latin & South America
B0M6317,Equity ETI by Area - North America
B0M6317,Equity ETI by Area - Other
B0M6317,Equity ETI by Area - Russia
B0M6317,Equity ETI by Area - UK
B0M6317,Equity ETI by Area - World
B0M6317,Equity ETI by Sector - Banks & Financials
B0M6317,Equity ETI by Sector - Basic Materials
B0M6317,Equity ETI by Sector - Consumer goods
B0M6317,Equity ETI by Sector - Energy
B0M6317,Equity ETI by Sector - Health
B0M6317,Equity ETI by Sector - Industrials
B0M6317,Equity ETI by Sector - Large Mid Small and Micro Cap
B0M6317,Equity ETI by Sector - Oil & Gas
B0M6317,Equity ETI by Sector - Property
B0M6317,Equity ETI by Sector - Technology
B0M6317,Equity ETI by Sector - Telecoms
B0M6317,Equity ETI by Sector - Utilities
B0M6317,Equity ETI by Sector - Volatility Index
B0M6328,Equity ETI by Sector - Property
B0M6339,Equity ETI by Area - Asia Pacific
B0M6351,Commodity ETI - Agriculture
B0M6351,Commodity ETI - Composite
B0M6351,Commodity ETI - Energy
B0M6351,Commodity ETI - Gold
B0M6351,Commodity ETI - Industrial Metals
B0M6351,Commodity ETI - Livestock
B0M6351,Commodity ETI - Oil
B0M6351,Commodity ETI - Precious Metals
B0M6351,Commodity ETI - Silver
B0M6351,Commodity ETI - Soft
B0M6351,Equity ETI by Area - Africa & Middle East
B0M6351,Equity ETI by Area - Asia Pacific
B0M6351,Equity ETI by Area - Developed Mkt
B0M6351,Equity ETI by Area - Emerging Market
B0M6351,Equity ETI by Area - Europe
